Gene;Swissprot;Mercator;NST_FT_FPKM;NST_75_FPKM;NST_55_FPKM;NST_35_FPKM;NST_AD_FPKM;NST_RH_FPKM
Xvis03_203707; Caffeoylshikimate esterase ;not assigned-no ontology;15.89;9.26;6.7;1.6;1.33;12.57
Xvis03_203708; UDP_glucuronic acid decarboxylase 2 ;cell wall-synthesis;8.26;7.98;4.96;3.42;5.06;3.98
Xvis03_203709; Protein HAPLESS 2 ;not assigned-unknown;1.81;0.52;0.77;2.55;1.3;1.69
Xvis03_203710; 21 kDa protein ;misc-invertase/pectin methylesterase inhibitor family protein;0.77;0.07;0.07;0.6;0;1.78
Xvis03_203711; Peter Pan_like protein ;protein-synthesis;17.39;19.3;21.4;41.42;36.61;12.08
Xvis03_203712; Serine/arginine_rich_splicing factor SR34 ;not assigned-unknown;17.39;19.3;21.4;41.42;36.61;12.08
Xvis03_203713; Beta_glucosidase 22 ;not assigned-no ontology;167.48;220.6;189.37;104.05;118.81;157.86
Xvis03_211690; Histone_lysine N_methyltransferase 2B ;RNA-regulation of transcription;7.87;7.14;6.64;12.51;13.19;3.24
Xvis03_203715; Auxilin_related protein 1 ;cell-vesicle transport;9.78;17.29;20.1;31.25;35.73;5.81
Xvis03_203716; Translationally_controlled tumor protein homolog ;not assigned-no ontology;158.84;426.28;533.46;629.64;835.19;106.66
Xvis03_203717; Probable E3 ubiquitin_protein ligase BAH1_like 1 ;protein-degradation;3.32;10.94;6.73;4.06;9.58;2.85
Xvis03_203718; Calcium and calcium/calmodulin_dependent serine/threonine_protein kinase ;signalling-calcium;7.8;5.84;4.49;2.65;2.42;13.58
Xvis03_203719; F_actin_capping protein subunit alpha ;not assigned-unknown;23.34;26.45;29.68;34.87;34.34;32.12
Xvis03_203720; Thiamine pyrophosphokinase 1 ;Co_factor and vitamine metabolism;98.01;194.01;212.9;301.37;300.19;79.78
Xvis03_203721;NA;not assigned-unknown;98.01;194.01;212.9;301.37;300.19;79.78
Xvis03_203722;NA;not assigned-unknown;98.01;194.01;212.9;301.37;300.19;79.78
Xvis03_203723; Translocase of chloroplast 159, chloroplastic ;protein-targeting;98.01;194.01;212.9;301.37;300.19;79.78
Xvis03_203724;NA;not assigned-unknown;0.38;3.82;2.74;3.03;8.42;7.1
Xvis03_203725; Stress_related protein ;not assigned-no ontology;108.47;235.14;211.4;27.4;27.35;53.96
Xvis03_203726; Protein RALF_like 33 ;signalling-misc;96.96;165.28;159.53;84.8;113.81;224.34
Xvis03_203727; 40S ribosomal protein S4 ;protein-synthesis;99.35;212.45;156.17;113.63;101.01;119.24
Xvis03_203728; Homeobox protein LUMINIDEPENDENS ;RNA-regulation of transcription;9.37;8.33;8.12;13.99;14.8;5.79
Xvis03_203729;NA;not assigned-unknown;5.26;16.6;15.09;11.33;7.62;5.21
Xvis03_203730; Arginine_glutamic acid dipeptide repeats protein ;not assigned-unknown;2.13;1.45;0.93;0.62;0.79;1.45
Xvis03_203731; Serine/threonine_protein phosphatase 4 regulatory subunit 2 ;not assigned-unknown;21.58;21.39;13.99;13.05;11.5;20.62
Xvis03_203732; Nuclear cap_binding protein subunit 1 ;protein-synthesis;15.65;21.07;22.33;20.93;24.28;13.74
Xvis03_203735; Potassium transporter 5 ;transport-potassium;2.26;3.18;2.16;3.38;3.61;1.36
Xvis03_203736; Putative syntaxin_131 ;not assigned-unknown;18.49;14.86;13.76;11.58;11.66;12.41
Xvis03_203737;NA;not assigned-unknown;18.49;14.86;13.76;11.58;11.66;12.41
Xvis03_203738; Vesicle_associated protein 1_3 ;not assigned-unknown;20.81;40.62;39.88;15.26;15.07;48.78
Xvis03_203739;NA;not assigned-no ontology;0.06;0.38;0.13;0.02;0;0.16
Xvis03_203740; Serine/threonine_protein kinase PBS1 ;protein-postranslational modification;24.1;14.94;7.63;5.64;5;20.01
Xvis03_203741; Proline_rich receptor_like protein kinase PERK3 ;protein-postranslational modification;0.14;0.23;0.17;0.3;0.38;0.02
Xvis03_203742;NA;protein-targeting;8.07;146.13;339.27;392.84;478.38;18.92
Xvis03_203743; Autophagy_related protein 18a ;transport-misc;100.29;129.36;100.3;56.86;82.82;75.05
Xvis03_203744;NA;misc-glutathione S transferases;100.29;129.36;100.3;56.86;82.82;75.05
Xvis03_203746; Autophagy_related protein 18a ;transport-misc;21.55;15.15;21.05;41.63;38.15;29.38
Xvis03_203747;NA;misc-glutathione S transferases;51.42;22.31;8.58;28.23;2.74;0
Xvis03_203749;NA;not assigned-unknown;0.09;0;0;0.13;0.48;0.48
Xvis03_203750; Glutathione S_transferase 3 ;misc-glutathione S transferases;5.34;2.3;1.02;2.93;0.6;2.6
Xvis03_203751; Protein INVOLVED IN DE NOVO 2 ;RNA-regulation of transcription;13.99;8.42;6.22;18.25;15.18;8.23
Xvis03_203752; Electron transfer flavoprotein subunit alpha, mitochondrial ;mitochondrial electron transport / ATP synthesis;7.35;14.52;7.85;4.07;3.66;7.09
Xvis03_203753; Golgin IMH1 ;not assigned-unknown;3.12;2.97;1.75;3.99;1.97;2.85
Xvis03_203754; Pentatricopeptide repeat_containing protein At2g32630 ;not assigned-unknown;0.33;0.97;0.67;0.52;0.53;0.83
Xvis03_203755; Pentatricopeptide repeat_containing protein At2g32630 ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;0.33;0.97;0.67;0.52;0.53;0.83
Xvis03_203756; Heavy metal_associated isoprenylated plant protein 26 ;metal handling;24.97;0.99;0.75;0.53;1.12;12.87
Xvis03_203757; Desiccation_related protein PCC13_62 ;stress-abiotic;0.22;36.49;139.38;21.95;14.28;0.2
Xvis03_203758; Lipase ;lipid metabolism-lipid degradation;20.62;11.47;25.02;45.22;65.22;35.12
Xvis03_203759; RING finger and CHY zinc finger domain_containing protein 1 ;not assigned-unknown;31.89;25.87;62.77;132.08;175.44;71.87
Xvis03_203760; Cut9_interacting protein scn1 ;misc-GDSL_motif lipase;24.42;2.73;1.78;2.83;1.5;20.21
Xvis03_203762; Nuclear pore complex protein NUP93A ;protein-targeting;14;7.81;4.51;1.41;0.6;12.51
Xvis03_203764; DNA primase small subunit ;DNA-synthesis/chromatin structure;0.93;0.44;3.15;2.35;0.53;2.69
Xvis03_203765; Trafficking protein particle complex subunit 11 ;not assigned-unknown;6.75;4.42;3.13;4.03;3.24;7.41
Xvis03_203768; Protein HUA ENHANCER 2 ;protein-synthesis;6.14;7.07;7.68;22.42;18.4;6.08
Xvis03_203771;NA;not assigned-unknown;3.53;1.2;1.48;1.56;0.34;2.61
Xvis03_203772; Autophagy_related protein 18d ;protein-degradation;0.53;0.36;0;0;0;0
Xvis03_203773; 2_hydroxy_6_oxononadienedioate/2_hydroxy_6_oxononatrienedioate hydrolase ;not assigned-no ontology;2.91;1.54;1.39;0.53;0.05;1.22
Xvis03_203774; E3 ubiquitin_protein ligase RING1 ;protein-degradation;0.05;0.26;0.44;0.9;0.96;0.08
Xvis03_203776; Cytochrome P450 714C2 ;misc-cytochrome P450;1.55;5.38;4.99;3.09;2.59;0.91
Xvis03_203778; 2,3_bisphosphoglycerate_independent phosphoglycerate mutase ;glycolysis-cytosolic branch;0.1;0.13;0.29;0.11;0.24;0.03
Xvis03_203780; Serine/threonine_protein kinase At5g01020 ;protein-postranslational modification;2.09;0.09;0.02;0.03;0.04;0
Xvis03_203781; Protein SCARECROW ;development-unspecified;8.81;3.1;3.39;2.62;3.66;7.11
Xvis03_203782; Transmembrane protein 56_B ;not assigned-unknown;2.82;3.25;3.02;0.31;0.13;0.16
Xvis03_203783; Calcium uniporter protein 5, mitochondrial ;not assigned-unknown;0.19;1.28;2.21;0.86;0.85;0.32
Xvis03_203785; Protein YLS9 ;cell-cell death;15.05;1.78;0.69;0.05;0.05;15.32
Xvis03_203786; Leucoanthocyanidin dioxygenase ;secondary metabolism-flavonoids-anthocyanins;0.05;20.22;17.2;0.17;0.14;0.04
Xvis03_203787;NA;not assigned-unknown;0.51;0.3;0;0.03;0.03;0
Xvis03_203791; Gluconokinase ;minor CHO metabolism-sugar kinases;5.1;1.85;2.69;3.8;2.34;6.64
Xvis03_203792;NA;not assigned-unknown;3.46;3.78;4.43;6.61;6.9;1.79
Xvis03_203793;NA;not assigned-unknown;3.46;3.78;4.43;6.61;6.9;1.79
Xvis03_203795; Kinesin_like protein NACK1 ;cell-organisation;0.22;0.12;0.02;0.14;0.04;1.92
Xvis03_203796;NA;not assigned-unknown;8.97;280.37;396.87;191.32;198.34;9.71
Xvis03_203797; CDPK_related kinase 3 ;protein-postranslational modification;4.38;3.7;3.56;3.88;5.61;1.92
Xvis03_203799; NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 ;not assigned-unknown;5.64;1.43;0.44;0.12;0.58;0.44
Xvis03_203801; Auxin_responsive protein SAUR15 ;not assigned-unknown;2.08;10.39;14.95;3.5;3.18;1.51
Xvis03_203802; Homeobox_leucine zipper protein HOX6 ;RNA-regulation of transcription;0.15;0.4;0.57;0.13;0.45;0.2
Xvis03_203803; Pyridoxal reductase, chloroplastic ;minor CHO metabolism-others;1.24;1.41;1.34;0.13;0.33;0.19
Xvis03_203804; Embryogenesis_associated protein EMB8 ;development-late embryogenesis abundant;0.52;0.98;0.7;0.46;1.1;0.97
Xvis03_203806; Cytochrome b5 isoform E ;redox;0.85;0.41;0.38;0.47;0.25;0.17
Xvis03_203807;NA;not assigned-unknown;25.37;20.67;26.6;31.69;24.17;63.36
Xvis03_203808; DNA_directed RNA polymerase III subunit RPC10 ;not assigned-unknown;25.37;20.67;26.6;31.69;24.17;63.36
Xvis03_203809; Protein yippee_like At4g27745 ;not assigned-unknown;8.61;3.92;3.37;1.03;1.6;8.95
Xvis03_203810; Mitochondrial import inner membrane translocase subunit TIM23_1 ;protein-targeting;0.57;0.29;1.32;3.57;2.61;0.75
Xvis03_203812; Zinc finger HIT domain_containing protein 2 ;RNA-regulation of transcription;7.64;10.31;10.64;32.71;26.53;5.56
Xvis03_203816; Short_chain dehydrogenase TIC 32, chloroplastic ;misc-short chain dehydrogenase/reductase (SDR);6.44;1.82;3.23;1.63;0.47;5.35
Xvis03_203817; E3 ubiquitin_protein ligase At4g11680 ;protein-degradation;0.7;1.72;1.6;2.47;2.23;0.73
Xvis03_203818; Homeobox_leucine zipper protein HDG1 ;RNA-regulation of transcription;1.67;1.43;1.41;1.96;2.11;3.61
Xvis03_203819; Homeobox_leucine zipper protein HDG1 ;RNA-regulation of transcription;1.67;1.43;1.41;1.96;2.11;3.61
Xvis03_203825;NA;not assigned-unknown;15.82;18.28;9.8;5.3;5.05;10.32
Xvis03_203826;NA;not assigned-unknown;15.82;18.28;9.8;5.3;5.05;10.32
Xvis03_203827; F_box protein PP2_A13 ;misc-myrosinases_lectin_jacalin;15.82;18.28;9.8;5.3;5.05;10.32
Xvis03_203830; Protein jagunal homolog 1 ;not assigned-unknown;19.64;17.16;15.64;17.27;16.11;19.46
Xvis03_203831;NA;stress;19.64;17.16;15.64;17.27;16.11;19.46
Xvis03_203832; Hsp70_Hsp90 organizing protein 3 ;stress;0;0.31;0.31;0.12;0.28;1.22
Xvis03_203835; Protein FAR_RED IMPAIRED RESPONSE 1 ;DNA-unspecified;9.3;4.4;2.82;3.03;2.58;11.72
Xvis03_203836; Probable WRKY transcription factor 23 ;RNA-regulation of transcription;2.37;4.88;6.2;15.13;16.76;1.48
Xvis03_203838; Probable glycerol_3_phosphate acyltransferase 3 ;lipid metabolism-Phospholipid synthesis;0.16;0.55;0.87;1.64;2.37;0.03
Xvis03_203839; Nuclear poly(A) polymerase 3 ;lipid metabolism-Phospholipid synthesis;7.16;20.58;26.36;39.62;49.14;2.6
Xvis03_203840;NA;RNA-processing;18.29;24.46;27.31;26.15;21.44;12.14
Xvis03_203842; NifU_like protein 1, chloroplastic ;;61.81;134.62;145.79;123.61;133.35;39.03
Xvis03_203843; Putative pentatricopeptide repeat_containing protein At1g56570 ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;0.78;1.11;0.86;0.71;0.22;0.59
Xvis03_203844; Transcription factor MYB108 ;RNA-regulation of transcription;0.03;0.8;0.84;0.89;1.24;0.13
Xvis03_203845; Galactinol synthase 1 ;minor CHO metabolism-raffinose family;3.3;61.22;71.41;110.81;121.74;0.89
Xvis03_203846; Avirulence protein A ;not assigned-unknown;17.31;29.88;17.07;11.47;13.38;15.78
Xvis03_203847; Pyrrolidone_carboxylate peptidase ;protein-degradation;18.81;33.17;46.51;68.19;75.27;21.46
Xvis03_203848; Glycogen synthase kinase_3 homolog MsK_3 ;protein-postranslational modification;58.79;34.3;35.62;38.26;37.63;65.55
Xvis03_203849;NA;not assigned-unknown;1.41;60.21;41.82;2.69;1.71;0.38
Xvis03_203850; Protein TolB ;not assigned-no ontology;7.14;20.46;17.04;7.44;7.52;7.24
Xvis03_203851; WD repeat_containing protein LWD1 ;development-unspecified;20.63;29.76;38.32;44.07;42.09;31.26
Xvis03_203852; Probable calcium_binding protein CML10 ;signalling-calcium;0;0.04;0.17;0.18;0.2;0
Xvis03_203853;NA;not assigned-unknown;8.59;12.01;14.49;34.4;40.59;6.19
Xvis03_203854;NA;not assigned-no ontology;10.82;8.62;10.23;16.07;13.17;8.78
Xvis03_203855;NA;RNA-transcription;6.96;15.21;17.41;10.75;12.14;8.02
Xvis03_203856; Chemoreceptor glutamine deamidase CheD ;not assigned-unknown;15.97;21.51;26.24;29.5;28.36;15.11
Xvis03_203857; Zinc finger BED domain_containing protein RICESLEEPER 3 ;DNA-unspecified;1.26;1.55;1.47;1.22;1.43;0.51
Xvis03_203858;NA;not assigned-unknown;15.97;21.51;26.24;29.5;28.36;15.11
Xvis03_203859; 40S ribosomal protein S4 ;protein-synthesis;33.77;71.5;47.5;28.62;31.86;73.97
Xvis03_203860; Protein RALF_like 33 ;signalling-misc;25.92;15.74;10.23;7.88;15.03;40.94
Xvis03_203862; Probable U6 snRNA_associated Sm_like protein LSm4 ;not assigned-unknown;20.13;38.23;55.26;99.96;91.73;18.45
Xvis03_203863; Translationally_controlled tumor protein homolog ;not assigned-no ontology;470.65;605.6;685.63;941.55;998.61;314.98
Xvis03_203865; NADH dehydrogenase [ubiquinone] iron_sulfur protein 5_B ;mitochondrial electron transport / ATP synthesis;10.95;14.92;15.46;11.5;12.42;15
Xvis03_203866; 50S ribosomal protein L18 ;protein-synthesis;8.87;8.47;6.98;3.16;3.2;14.4
Xvis03_203867; UDP_glucuronic acid decarboxylase 2 ;cell wall-synthesis;42.99;87.64;60.38;17.2;21.39;24.93
Xvis03_203868; Blue_light photoreceptor PHR2 ;signalling-light;5.74;12.16;17.44;12.97;16.02;12.88
Xvis03_203869; Protein ROOT PRIMORDIUM DEFECTIVE 1 ;not assigned-no ontology;5.55;4.25;3.06;2.51;2.04;3.56
Xvis03_203870; Cytochrome P450 71D7 ;nucleotide metabolism-degradation;0.9;3.33;2.74;0.35;1.03;0.62
Xvis03_203871; DNA_directed RNA polymerases II and IV subunit 5A ;RNA-transcription;30.77;58.66;87.75;122.77;124.36;34.05
Xvis03_203872; Sugar transporter ERD6_like 5 ;not assigned-unknown;36.43;31.66;29.87;29.3;24.3;32.38
Xvis03_203873; 40S ribosomal protein S8 ;protein-synthesis;36.43;31.66;29.87;29.3;24.3;32.38
Xvis03_203879; Phenazine biosynthesis_like domain_containing protein 1 ;not assigned-no ontology;18.29;11.72;11.25;6.87;8.01;25.45
Xvis03_203880; TVP38/TMEM64 family membrane protein slr0305 ;not assigned-unknown;16.24;2.89;2.16;2.36;3.12;13.93
Xvis03_203882; EID1_like F_box protein 3 ;not assigned-no ontology;0.26;0.98;4.56;20.39;40.55;1.15
Xvis03_203883;NA;misc-acid and other phosphatases;13.37;46.61;36.47;16.32;28.58;5.52
Xvis03_203884; BTB/POZ and MATH domain_containing protein 2 ;protein-degradation;15.64;17.76;24.83;47.65;52.02;22.33
Xvis03_203885; ATP synthase delta chain, chloroplastic ;photorespiration;137.33;14.97;22.16;52.95;52.81;377.4
Xvis03_203886; SUMO_activating enzyme subunit 2 ;protein-degradation;20.85;17.24;20.1;37.22;37.09;15.46
Xvis03_203887;NA;not assigned-unknown;0.2;0;0.01;0.02;0;2.02
Xvis03_203888; Amidase 1 ;misc-nitrilases;49.07;10.46;9.7;4.91;3.99;16.95
Xvis03_203890; Werner Syndrome_like exonuclease ;not assigned-unknown;8.52;4.61;4.58;4.39;3.22;10.93
Xvis03_203891; Glycerol_3_phosphate acyltransferase 4 ;not assigned-no ontology;32.83;31.37;27.24;24.32;25.43;29.72
Xvis03_203892; Protein ALWAYS EARLY 3 ;cell-cycle;9.33;8.14;7.55;18.52;17.38;5.29
Xvis03_203893; Magnesium_chelatase subunit ChlH, chloroplastic ;tetrapyrrole synthesis;76.26;85.54;145.07;557.29;462.6;489.91
Xvis03_203894; Mitochondrial Rho GTPase 1 ;signalling-G_proteins;36.65;41.98;50.54;116.46;103.35;52.4
Xvis03_203895; Putative transcription factor bHLH041 ;not assigned-unknown;0.29;0.05;0.03;0;0.06;3.5
Xvis03_203896; 50S ribosomal protein L1, chloroplastic ;protein-synthesis;37.73;88.92;92.41;106.44;75.82;37.26
Xvis03_203897; Protein transport protein SEC31 homolog B ;not assigned-no ontology;30.28;36.1;34.19;28.87;34.52;27.02
Xvis03_203898; Non_specific phospholipase C2 ;lipid metabolism-lipid degradation;14.96;4.35;1.61;6.11;5.06;35.18
Xvis03_203900; Protein LATERAL ROOT PRIMORDIUM 1 ;development-unspecified;1.8;1.28;0.91;0.44;0.54;0.26
Xvis03_203901; E3 ubiquitin_protein ligase ICP0 ;protein-degradation;14.7;22.59;26.89;42.13;37.62;12.88
Xvis03_203902; Ultraviolet_B receptor UVR8 ;RNA-regulation of transcription;7.9;2.23;1.36;2.11;1.94;4.51
Xvis03_203903; Integrator complex subunit 9 homolog ;not assigned-unknown;15.4;7.29;8.06;13.59;11.87;13.79
Xvis03_203904; Uncharacterized protein At5g39865 ;redox;5.66;7.19;10.76;20.87;18.65;12.96
Xvis03_203905; Probable ADP_ribosylation factor GTPase_activating protein AGD11 ;RNA-regulation of transcription;16.45;5.78;6.28;13.32;15.41;10.42
Xvis03_203906; 60S ribosomal protein L7_2 ;protein-synthesis;50.14;81.71;56.7;20.45;22.43;55.47
Xvis03_203909; Two_pore potassium channel 5 ;transport-potassium;0.79;0.86;0.5;0.71;0.37;1.27
Xvis03_203910; Protein TRIGALACTOSYLDIACYLGLYCEROL 4, chloroplastic ;not assigned-unknown;10.58;12.48;13.92;13.86;18.69;16.21
Xvis03_216911; Anthranilate N_benzoyltransferase protein 1 ;secondary metabolism-phenylpropanoids;1.52;0.99;0.61;0.27;0.27;1.46
Xvis03_203919; Ribonuclease P protein subunit p38 ;not assigned-unknown;13.45;5.49;6.18;7.41;6.76;9.96
Xvis03_203920; SWI/SNF_related matrix_associated actin_dependent regulator of chromatin subfamily A_like protein 1 ;RNA-regulation of transcription;20.55;12.13;6.59;4.54;4.95;8.42
Xvis03_203921; Aspartic proteinase ;protein-degradation;347.85;554.39;613.22;842.37;755.61;855.69
Xvis03_203922; Mediator_associated protein 1 ;RNA-regulation of transcription;39.97;80.88;92.85;83.92;102.37;49.82
Xvis03_203923; 1,4_dihydroxy_2_naphthoyl_CoA thioesterase 1 ;RNA-regulation of transcription;39.97;80.88;92.85;83.92;102.37;49.82
Xvis03_203924; Transcription factor PIF3 ;not assigned-unknown;1.19;1.04;0.85;3.46;2.73;3.2
Xvis03_203925; Cytochrome P450 734A6 ;misc-cytochrome P450;53.08;59.19;52.93;65.36;57.75;65.9
Xvis03_203926;NA;not assigned-unknown;37.78;50.35;42.34;76.77;90.88;14.14
Xvis03_203928; Myb_related protein Hv33 ;RNA-regulation of transcription;0.47;0;0;0.06;0;3.02
Xvis03_203929;NA;not assigned-unknown;4.36;3.95;4.17;5.1;5.03;4.27
Xvis03_203930; Protein phosphatase 2C 32 ;misc-acid and other phosphatases;2.67;1.75;1.5;0.82;0.84;2.28
Xvis03_203932;NA;not assigned-unknown;21.39;16.49;21.54;21.47;17.7;26.49
Xvis03_203933; Arogenate dehydratase/prephenate dehydratase 6, chloroplastic ;amino acid metabolism-synthesis;2.96;5.61;7.39;10.09;8.06;1.9
Xvis03_203936; Protein LURP_one_related 8 ;not assigned-unknown;8.4;3.93;1.24;0.22;0.41;6.23
Xvis03_203938;NA;signalling-G_proteins;29.41;30.5;33.88;32.78;33.43;50.99
Xvis03_203939; Wall_associated receptor kinase_like 22 ;protein-postranslational modification;2.37;1.54;1.49;3.18;2.74;4.23
Xvis03_203940; Unknown protein 1 ;not assigned-unknown;1.57;0.95;1.19;1.78;0.99;2.03
Xvis03_203941;NA;not assigned-unknown;3.36;3.46;4.26;5.28;5.8;3.29
Xvis03_203942;NA;not assigned-unknown;1.31;2.07;3.13;2.73;3.67;7.63
Xvis03_203943; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 ;not assigned-unknown;21.97;15.76;12.28;5.84;5.78;18.94
Xvis03_203944; 60S ribosomal protein L10 ;protein-synthesis;174.39;358.74;316.86;165.79;196.93;405.86
Xvis03_203945;NA;transport-misc;34.19;31.79;34.33;29.15;45.32;19.51
Xvis03_203947; Ethylene_responsive transcription factor CRF4 ;hormone metabolism-ethylene;0.07;0.14;0.09;0.5;0.44;0.42
Xvis03_203948; Eukaryotic translation initiation factor 2 subunit beta ;protein-synthesis;38.82;64.26;59.17;48.97;56.4;40.24
Xvis03_203949; Mannan endo_1,4_beta_mannosidase 7 ;not assigned-unknown;38.82;64.26;59.17;48.97;56.4;40.24
Xvis03_203950; Serine/threonine_protein kinase STN8, chloroplastic ;protein-postranslational modification;21.71;11.96;11.54;7.15;4.74;43.23
Xvis03_203951; U_box domain_containing protein 16 ;protein-degradation;1.27;11.63;31.68;40.55;41.3;4.02
Xvis03_203953; Probable potassium transporter 9 ;transport-potassium;5.02;1.52;2.2;0.44;0.47;22.41
Xvis03_203954; Transcription repressor OFP3 ;RNA-regulation of transcription;2.39;0;0.05;0;0;6.14
Xvis03_203955; Probable serine/threonine_protein kinase WNK4 ;signalling-MAP kinases;55.29;42.47;35.97;12.78;14.79;16.97
Xvis03_203956; Alpha_galactosidase 3 ;minor CHO metabolism-galactose;69.73;35.86;80.36;47.36;59.63;49.95
Xvis03_203957; Serine/threonine_protein kinase HT1 ;protein-postranslational modification;14.02;6.69;6.64;5.86;4.69;7.03
Xvis03_203958; Expansin_A8 ;cell wall-modification;1.72;0.06;0;0.12;0.1;7.82
Xvis03_203959; Non_specific lipid_transfer protein ;lipid metabolism-lipid transfer proteins etc;0.09;0;0;0;0;11.08
Xvis03_203960; Non_specific lipid_transfer protein ;lipid metabolism-lipid transfer proteins etc;13309.03;1487.54;792.64;1206.11;871.91;59503.47
Xvis03_203961;NA;not assigned-unknown;0.58;0;0;0;0;0
Xvis03_203962; Non_specific lipid_transfer protein 2 ;lipid metabolism-lipid transfer proteins etc;18.34;0.63;0.3;2.42;0.72;28.03
Xvis03_203963; RING_H2 finger protein ATL73 ;protein-degradation;37.27;8.83;6.04;0.33;0.23;20.37
Xvis03_203964; Probable chalcone__flavonone isomerase 3 ;secondary metabolism-flavonoids-chalcones;106.23;92.54;89.11;16.01;8.87;52.4
Xvis03_203965; Probable receptor_like protein kinase At5g15080 ;protein-postranslational modification;6.03;5.06;6.14;6.72;12.54;1.76
Xvis03_203966;NA;not assigned-no ontology;0.02;0.03;0.04;0;0.06;0.28
Xvis03_203967; 2_hydroxyisoflavanone dehydratase ;lipid metabolism-lipid degradation;0.29;0.22;0.03;0.06;0;0.38
Xvis03_203968; Probable LRR receptor_like serine/threonine_protein kinase IRK ;signalling-receptor kinases;0.3;0.02;0.01;0.14;0.05;13.94
Xvis03_203971; Probable WRKY transcription factor 70 ;RNA-regulation of transcription;5.17;6.14;1.7;0.36;0.31;1.67
Xvis03_203973;NA;not assigned-unknown;0.07;0.02;0.03;0;0.03;0.7
Xvis03_203975; Transcription elongation factor TFIIS ;protein-synthesis;7.84;7.63;7.48;4.1;7.92;11.13
Xvis03_212830; Benzoate O_methyltransferase ;hormone metabolism-auxin;5.42;0.55;2.51;0.43;0.32;4.3
Xvis03_210229; Benzoate__CoA ligase, peroxisomal ;lipid metabolism-fatty acids;0;0;0;0.02;0;3.53
Xvis03_203978; CBL_interacting protein kinase 2 ;protein-postranslational modification;3.22;28.14;57.28;29.45;37.03;0.71
Xvis03_203979;NA;not assigned-unknown;6.12;6.09;4.25;2.29;1.06;8.42
Xvis03_203980;NA;not assigned-unknown;6.01;7.81;7.77;14.49;14.47;8.41
Xvis03_203981;NA;not assigned-unknown;6.01;7.81;7.77;14.49;14.47;8.41
Xvis03_203987;NA;not assigned-unknown;0;0;0;0;0;0
Xvis03_203988; BTB/POZ domain_containing protein At3g56230 ;protein-degradation;0.37;0.4;1.41;0.57;2.37;4.71
Xvis03_203989; Protein NUCLEAR FUSION DEFECTIVE 4 ;development-unspecified;7.24;5.13;5.25;2.82;0.48;9.58
Xvis03_203990; Caffeoyl_CoA O_methyltransferase 1 ;secondary metabolism-phenylpropanoids-lignin biosynthesis;0.64;219.2;368.56;19.26;2.06;1.26
Xvis03_203991; Protein NRT1/ PTR FAMILY 2.7 ;transport-peptides and oligopeptides;31.34;28.34;14.66;1.46;1.63;17.28
Xvis03_203992; Protein LURP_one_related 15 ;not assigned-unknown;74.23;260.22;460.78;618.85;824.39;40.91
Xvis03_203993;NA;RNA-regulation of transcription;6.68;2.83;3.59;2.27;1.85;4.56
Xvis03_203994; Protein PLANT CADMIUM RESISTANCE 10 ;stress;0.39;0.63;0.13;0.02;0.06;0
Xvis03_203995; Protein SCAR2 ;cell-organisation;9.09;4.44;4.32;7.53;7.86;10.1
Xvis03_203996; Peptidyl_prolyl cis_trans isomerase FKBP42 ;protein-folding;25.08;20.87;24.14;26.04;30.21;29.26
Xvis03_203998; Copper transport protein CCH ;not assigned-unknown;27.57;13.27;2.79;1.11;2.55;5.63
Xvis03_203999; F_box/LRR_repeat protein 3 ;protein-degradation;1.21;2.78;2.83;5.83;4.03;2.9
Xvis03_204000; Probable protein phosphatase 2C 73 ;protein-postranslational modification;1.21;2.78;2.83;5.83;4.03;2.9
Xvis03_204001; Pentatricopeptide repeat_containing protein At4g19440, chloroplastic ;not assigned-no ontology-pentatricopeptide (PPR) repeat_containing protein;1.68;1.59;1.11;2.3;2.21;2.33
Xvis03_204002;NA;not assigned-unknown;1.68;1.59;1.11;2.3;2.21;2.33
Xvis03_204003; Aldose reductase ;minor CHO metabolism-others;1.08;308.58;583.31;366.62;366.9;6.58
Xvis03_204004; BRISC complex subunit Abro1 ;not assigned-unknown;4.66;6.52;6.14;6.68;5.5;8.36
Xvis03_204005;NA;not assigned-no ontology;0.04;0.45;0.08;0.02;0;0
Xvis03_204007; PRA1 family protein B4 ;signalling-G_proteins;8.28;7.16;9.16;22.87;19.69;35.37
Xvis03_204008; Macrophage migration inhibitory factor homolog ;not assigned-no ontology;123.18;165.99;192.22;99.88;99.91;89.59
Xvis03_204009; Exocyst complex component EXO70B1 ;RNA-regulation of transcription;21.62;8;6.68;7.72;8.65;25.74
Xvis03_204011; Protein trichome birefringence_like 33 ;not assigned-unknown;3.69;19.05;31.8;58.59;54.45;3.73
Xvis03_204012; Transcription initiation factor TFIID subunit 15b ;RNA-regulation of transcription;14.32;22.97;26.08;36.71;41.32;12.74
Xvis03_204013; Multiple inositol polyphosphate phosphatase 1 ;misc-acid and other phosphatases;18.18;118.16;190.95;156.29;194.07;22.9
Xvis03_204014; Cinnamoyl_CoA reductase 1 ;secondary metabolism-phenylpropanoids-lignin biosynthesis;28.07;14.16;11.05;10.74;6.31;30.64
